distance_m,lat,lon,altitude_m,grade_pct
1280,36.707961,-4.428965,38.0,0.00
1285,36.707998,-4.428934,38.0,0.00
1290,36.708033,-4.428902,38.0,0.00
1295,36.708070,-4.428868,38.0,0.00
1300,36.708105,-4.428832,38.0,0.00
1305,36.708137,-4.428796,38.0,0.00
1310,36.708176,-4.428764,38.0,0.00
1315,36.708213,-4.428733,38.0,0.00
1320,36.708249,-4.428702,38.0,0.00
1325,36.708289,-4.428670,38.0,0.00
1330,36.708325,-4.428638,38.0,0.00
1335,36.708363,-4.428608,38.0,0.00
1340,36.708400,-4.428577,38.0,0.00
1345,36.708437,-4.428544,38.0,0.00
1350,36.708474,-4.428511,38.0,0.00
1355,36.708508,-4.428477,38.0,0.00
1360,36.708546,-4.428444,38.0,0.00
1365,36.708582,-4.428411,38.0,0.00
1370,36.708617,-4.428376,38.0,0.00
1375,36.708653,-4.428340,38.0,0.00
1380,36.708686,-4.428306,38.0,0.00
1385,36.708722,-4.428273,38.0,0.00
1390,36.708758,-4.428241,38.0,0.00
1395,36.708795,-4.428207,38.0,0.00
1400,36.708832,-4.428174,38.0,0.00
1405,36.708868,-4.428141,38.0,0.00
1410,36.708904,-4.428106,38.0,0.00
1415,36.708941,-4.428072,38.0,0.00
1420,36.708976,-4.428037,38.0,0.00
1425,36.709011,-4.428003,38.0,0.00
1430,36.709048,-4.427971,38.0,-0.01
1435,36.709085,-4.427938,38.0,-0.05
1440,36.709120,-4.427903,38.0,-0.11
1445,36.709154,-4.427869,38.0,-0.17
1450,36.709189,-4.427835,38.0,-0.23
1455,36.709225,-4.427800,38.0,-0.29
1460,36.709261,-4.427764,37.9,-0.35
1465,36.709296,-4.427728,37.9,-0.36
1470,36.709328,-4.427692,37.9,-0.36
1475,36.709362,-4.427656,37.9,-0.36
1480,36.709397,-4.427620,37.9,-0.36
1485,36.709434,-4.427585,37.9,-0.35
1490,36.709470,-4.427552,37.8,-0.31
1495,36.709508,-4.427521,37.8,-0.25
1500,36.709547,-4.427491,37.8,-0.19
1505,36.709585,-4.427462,37.8,-0.13
1510,36.709622,-4.427434,37.8,-0.07
1515,36.709660,-4.427405,37.8,-0.02
1520,36.709699,-4.427374,37.8,0.00
1525,36.709737,-4.427343,37.8,0.00
1530,36.709775,-4.427313,37.8,0.00
1535,36.709814,-4.427283,37.8,0.00
1540,36.709851,-4.427252,37.8,0.01
1545,36.709888,-4.427221,37.8,0.07
1550,36.709925,-4.427187,37.8,0.13
1555,36.709961,-4.427153,37.8,0.19
1560,36.709996,-4.427120,37.8,0.25
1565,36.710032,-4.427087,37.8,0.36
1570,36.710070,-4.427056,37.9,0.47
1575,36.710108,-4.427025,37.9,0.54
1580,36.710144,-4.426994,37.9,0.62
1585,36.710182,-4.426962,37.9,0.74
1590,36.710216,-4.426927,38.0,0.86
1595,36.710250,-4.426891,38.0,0.98
1600,36.710287,-4.426855,38.1,1.05
1605,36.710319,-4.426819,38.1,1.17
1610,36.710355,-4.426783,38.2,1.27
1615,36.710389,-4.426747,38.3,1.39
1620,36.710424,-4.426712,38.3,1.46
1625,36.710460,-4.426677,38.4,1.54
1630,36.710497,-4.426643,38.5,1.68
1635,36.710532,-4.426609,38.6,1.78
1640,36.710566,-4.426576,38.7,1.89
1645,36.710601,-4.426541,38.8,1.95
1650,36.710640,-4.426507,38.9,2.02
1655,36.710674,-4.426472,39.0,2.08
1660,36.710708,-4.426435,39.1,2.17
1665,36.710741,-4.426399,39.2,2.25
